GWA Element ID	IWA Element ID	DWA Element ID	DWA Element Name
4.A.1.a.2	4.A.1.a.2.i	4.A.1.a.2.i.2	Monitor environmental conditions to detect hazards.
4.A.1.a.2	4.A.1.a.2.i	4.A.1.a.2.i.3	Measure environmental characteristics.
4.A.1.a.2	4.A.1.a.2.i	4.A.1.a.2.i.4	Monitor activities affecting environmental quality.
4.A.1.a.2	4.A.1.a.2.i	4.A.1.a.2.i.5	Assess characteristics of fires.
4.A.1.a.2	4.A.1.a.2.i	4.A.1.a.2.i.6	Inspect condition of natural environments.
4.A.1.a.2	4.A.1.a.2.j	4.A.1.a.2.j.1	Monitor the security of digital information.
4.A.1.a.2	4.A.1.a.2.j	4.A.1.a.2.j.2	Monitor the performance of computer networks.
4.A.1.a.2	4.A.1.a.2.j	4.A.1.a.2.j.3	Monitor computer system performance to ensure proper operation.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.1	Identify actions needed to bring properties or facilities into compliance with regulations.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.2	Inspect products or operations to ensure that standards are met.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.3	Monitor operations to ensure compliance with safety or security policies or regulations.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.4	Monitor organizational compliance with regulations.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.5	Verify that medical activities or operations meet standards.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.6	Monitor processes for compliance with standards.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.7	Evaluate personnel practices to ensure adherence to regulations.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.8	Monitor operational activities to ensure compliance with regulations or standard operating procedures.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.9	Evaluate construction projects to determine compliance with external standards or regulations.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.10	Determine operational compliance with regulations or standards.
4.A.1.a.2	4.A.1.a.2.k	4.A.1.a.2.k.11	Monitor medical facility activities to ensure adherence to standards or regulations.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.1	Apply identification labels or tags.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.2	Mark agricultural or forestry products for identification.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.3	Mark materials or objects for identification.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.4	Mark products, workpieces, or equipment with identifying information.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.5	Label production materials.
4.A.1.b.1	4.A.1.b.1.a	4.A.1.b.1.a.6	Attach identification information to products, items or containers.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.1	Identify opportunities for green initiatives.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.2	Identify potential customers.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.3	Identify investment opportunities or strategies.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.4	Identify strategic business investment opportunities.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.5	Identify new applications for existing technologies.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.6	Identify opportunities to improve operational efficiency.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.7	Identify sustainable business practices.
4.A.1.b.1	4.A.1.b.1.b	4.A.1.b.1.b.8	Identify job or employment opportunities.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.1	Test patient heart or lung functioning.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.2	Administer screening tests to determine abilities or treatment needs.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.3	Test patient hearing.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.4	Test patient vision.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.5	Conduct diagnostic tests to determine patient health.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.6	Administer drug screening tests.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.7	Test patient nervous system functioning.
4.A.1.b.2	4.A.1.b.2.a	4.A.1.b.2.a.8	Test biological specimens to gather information about patient conditions.
4.A.1.b.2	4.A.1.b.2.b	4.A.1.b.2.b.1	Test green technologies or processes.
4.A.1.b.2	4.A.1.b.2.b	4.A.1.b.2.b.2	Test green technology installations to verify performance.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.1	Test materials, solutions, or samples.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.2	Test products for functionality or quality.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.3	Analyze test results.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.4	Test characteristics of materials or structures.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.5	Test chemical or physical characteristics of materials or products.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.6	Test fluids to identify contamination or other problems.
4.A.1.b.2	4.A.1.b.2.c	4.A.1.b.2.c.7	Test quality of materials or finished products.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.1	Inspect motor vehicles.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.2	Inspect mechanical components of vehicles to identify problems.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.3	Inspect vehicles to determine overall condition.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.4	Inspect locomotives or other railroad equipment.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.5	Inspect aircraft or aircraft components.
4.A.1.b.2	4.A.1.b.2.d	4.A.1.b.2.d.6	Inspect structural components of vehicles to identify problems.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.1	Inspect work sites to determine condition or necessary repairs.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.2	Inspect work sites to identify potential environmental or safety hazards.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.3	Inspect facilities, equipment or supplies to ensure conformance to standards.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.4	Inspect cargo areas for cleanliness or condition.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.5	Inspect work environments to ensure safety.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.6	Monitor cargo area conditions.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.7	Inspect facilities.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.8	Inspect facilities or equipment to ensure specifications are met.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.9	Inspect areas for compliance with sanitation standards.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.10	Inspect facilities to ensure compliance with fire regulations.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.11	Inspect facilities to ensure compliance with safety, quality, or service standards.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.12	Inspect facilities or sites to determine if they meet specifications or standards.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.13	Inspect facilities to ensure compliance with security or safety regulations.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.14	Inspect facilities for cleanliness.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.15	Inspect condition or functioning of facilities or equipment.
4.A.1.b.2	4.A.1.b.2.e	4.A.1.b.2.e.16	Inspect buildings or grounds to determine condition.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.1	Verify alignment of structures or equipment.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.2	Inspect timing devices.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.3	Inspect finishes of workpieces or finished products.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.4	Count finished products or workpieces.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.5	Inspect metal, plastic, or composite products.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.6	Inspect work to ensure standards are met.
4.A.1.b.2	4.A.1.b.2.f	4.A.1.b.2.f.7	Inspect textile products.
